short_name,long_name,age,nationality_name,club_name,player_positions,overall,potential,value_eur,wage_eur,pace,shooting,passing,dribbling,defending,physic,height_cm,weight_kg,preferred_foot
J. Bellingham,Jude Victor William Bellingham,22,England,Real Madrid,"CAM, CM",90,94,174500000,320000,80.0,86.0,83.0,90.0,78.0,85.0,186,75,Right
F. Valverde,Federico Santiago Valverde Dipetta,26,Uruguay,Real Madrid,"CM, CDM, RB",89,90,120500000,340000,88.0,84.0,84.0,84.0,83.0,85.0,182,74,Right
J. Kimmich,Joshua Walter Kimmich,30,Germany,FC Bayern München,"CDM, RB, CM",89,89,86000000,140000,72.0,74.0,89.0,84.0,83.0,79.0,177,75,Right
A. Hakimi,Achraf Hakimi Mouhأشرف حكيمي,26,Morocco,Paris Saint-Germain,"RB, RM",89,90,111000000,170000,92.0,79.0,82.0,83.0,82.0,79.0,181,73,Right
N. Barella,Nicolò Barella,28,Italy,Inter,CM,87,87,79500000,69000,80.0,78.0,84.0,86.0,81.0,76.0,175,68,Right
H. Çalhanoğlu,Hakan Çalhanoğlu,31,Türkiye,Inter,"CDM, CM",86,86,47500000,61000,71.0,81.0,87.0,82.0,81.0,73.0,178,69,Right
F. Dimarco,Federico Dimarco,27,Italy,Inter,"LB, LM",85,85,52000000,54000,80.0,78.0,84.0,82.0,79.0,77.0,175,76,Left
A. Mac Allister,Alexis Mac Allister,26,Argentina,Liverpool,"CM, CDM",87,88,93000000,180000,66.0,82.0,85.0,85.0,78.0,76.0,176,72,Right
Rodri,Rodrigo Hernández Cascante,29,Spain,Manchester City,"CDM, CM",90,90,102000000,270000,65.0,80.0,86.0,84.0,86.0,85.0,190,82,Right
A. Griezmann,Antoine Griezmann,34,France,Atlético Madrid,"ST, LM, CAM",85,85,26000000,115000,77.0,86.0,85.0,88.0,59.0,73.0,176,67,Left
T. Hernández,Theo Bernard François Hernández,27,France,Al Hilal,"LB, LM",84,85,44500000,65000,90.0,76.0,78.0,83.0,79.0,83.0,184,81,Left
Bruno Fernandes,Bruno Miguel Borges Fernandes,30,Portugal,Manchester United,"CAM, CM",87,87,77000000,165000,67.0,83.0,89.0,83.0,65.0,75.0,179,69,Right
J. Alvarez,Julián Álvarez,25,Argentina,Atlético Madrid,ST,87,90,107000000,125000,85.0,87.0,81.0,87.0,57.0,79.0,170,71,Right
T. Alexander-Arnold,Trent John Alexander-Arnold,26,England,Real Madrid,"RB, RM",86,87,73000000,250000,76.0,72.0,89.0,80.0,80.0,74.0,180,69,Right
Sancet,Oihan Sancet Tirapu,25,Spain,Athletic Club,"CAM, CM, ST",84,88,58500000,66000,76.0,83.0,80.0,85.0,70.0,82.0,188,77,Right
A. Rabiot,Adrien Rabiot-Provost,30,France,AC Milan,"CAM, CM",83,83,35000000,71000,81.0,79.0,81.0,80.0,77.0,84.0,191,80,Left
R. De Paul,Rodrigo Javier de Paul,31,Argentina,Inter Miami,"CM, CDM, CAM",84,84,34500000,100000,75.0,78.0,83.0,83.0,76.0,83.0,180,70,Right
S. Tonali,Sandro Tonali,25,Italy,Newcastle United,"CDM, CM",86,88,76500000,175000,79.0,74.0,82.0,80.0,81.0,83.0,181,79,Right
Marcos Llorente,Marcos Llorente Moreno,30,Spain,Atlético Madrid,"RB, CM, RM",84,84,36500000,95000,89.0,79.0,78.0,81.0,78.0,82.0,184,74,Right
L. Goretzka,Leon Christoph Goretzka,30,Germany,FC Bayern München,"CM, CDM, CAM",82,82,29000000,78000,77.0,78.0,80.0,80.0,80.0,82.0,189,82,Right
Vitinha,Vítor Machado Ferreira,25,Portugal,Paris Saint-Germain,"CM, CDM, CAM",89,91,128500000,170000,72.0,80.0,86.0,90.0,75.0,70.0,172,64,Right
M. Salah,Mohamed Salah Hamed Ghalyمحمد صلاح,33,Egypt,Liverpool,"RM, RW",91,91,82000000,370000,89.0,88.0,86.0,90.0,45.0,76.0,175,72,Left
M. Sabitzer,Marcel Sabitzer,31,Austria,Borussia Dortmund,"CDM, CM",80,80,15000000,52000,74.0,80.0,80.0,80.0,76.0,76.0,178,76,Right
D. Rice,Declan Rice,26,England,Arsenal,"CDM, CM",87,88,83500000,210000,72.0,73.0,84.0,80.0,83.0,83.0,185,80,Right
João Cancelo,João Pedro Cavaco Cancelo,31,Portugal,Al Hilal,"RB, LB, RM",84,84,30500000,68000,83.0,73.0,84.0,84.0,78.0,74.0,182,74,Right
F. de Jong,Frenkie de Jong,28,Netherlands,FC Barcelona,"CM, CDM",87,87,79500000,170000,82.0,71.0,85.0,87.0,78.0,77.0,181,74,Right
T. Reijnders,Tijjani Martinus Jan Reijnders Lekatompessy,26,Netherlands,Manchester City,"CM, CDM, CAM",86,87,79500000,190000,79.0,79.0,82.0,85.0,77.0,77.0,185,73,Right
D. Szoboszlai,Dominik Szoboszlai,24,Hungary,Liverpool,"CAM, CM",83,86,49500000,110000,79.0,82.0,84.0,82.0,67.0,76.0,186,74,Right
Raphinha,Raphael Dias Belloli,28,Brazil,FC Barcelona,"LM, LW",89,89,104000000,200000,91.0,84.0,85.0,87.0,53.0,75.0,176,68,Left
